buuid,txn_vol,accepted_txn,failed_txn,capital_granted
1508166870268-7fec74d1-a691-4464-b6b9-74a1e42d9b56,90628.5,406,40,1
1508415538656-894a96e2-4b51-4f62-bd14-23818708d879,103137.0,435,69,1
1509954352683-23ea0cf2-cd64-40c7-9d11-8fe2415769c3,66455.28,938,129,1
1511876731287-3ad18bd2-20ad-42e4-96c6-a0c1272ba443,303139.0,479,80,1
1514986457560-3c827eac-06c4-46f3-a918-69cd9f035037,15560.0,47,11,1
1515227590681-d56953f5-b35d-4d18-a31a-87ac037153dd,34604.0,212,107,1
1517491177630-28598007-fcf4-4cd1-b3be-df860eb83a31,40090.0,125,10,1
1524474794271-0787890b-afcd-4141-8aa6-7c00187fb50b,154222.0,2093,288,1
1525024589181-6fa73aba-2b46-4631-a7c4-1dd5f9c4c9f7,78602.0,114,26,1
1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,37328.380000000005,182,32,1
1526482902496-7e99a042-7e14-4472-8514-833b9add4f95,114738.0,276,63,1
1457267402534-d4bcd2fc-d50a-4fc2-85eb-cf664088f591,66439.0,307,58,1
1473794401674-039a11c0-bbbe-43b0-94ab-b3db60348c1b,19842.0,67,10,1
1485071520232-43a29b21-0435-4f8b-b8f1-366215e96fae,388542.35,1050,139,1
1483770954246-0b8298c0-ebcb-4179-a1a7-61ad8ec5d41d,69695.0,212,18,1
1487514362120-df293c7e-8386-4d96-af89-01adbe68c4fe,46105.0,85,4,1
1492625475342-09c90dbb-cbd7-49ad-8f87-9335e9641385,32440.0,54,37,1
1495038463687-40cf7d8f-acb7-4a95-ba2f-c5b2e9e4dda8,195311.6,1168,161,1
1498292813053-a42d48ca-6a3f-4699-96f7-3e9e4bcc0f0f,47270.0,86,23,1
1486981797035-3b518432-7eaf-47f5-9cbd-aef8c354ea2d,63213.82,2081,398,1
1499768411885-87bf1087-010d-4d82-928a-38fdae1ed106,23543.0,31,5,1
1499775024567-7503dd9f-f0ac-404e-a039-e35364c2cb9e,92036.81,339,38,1
1500232796790-71776fb7-d230-48b8-838e-e7f339dd79d4,320741.0,1859,955,1
1500399651805-5b88818e-21d1-4f20-a5f1-52aaf78bae1d,154230.42,153,28,1
1502193202581-a2ea024b-d0f5-4b0d-bcf3-5940cb7a5767,14665.0,50,8,1
1502826875405-9e63f9ad-366a-405d-9885-07ce75551c64,10015.0,123,11,1
1504518484351-230dcfed-815c-4363-b051-45e130cd9c1d,71113.0,174,47,1
1504675358615-2c03a6f8-fe21-4177-b247-bc72fcce7ae9,75665.0,145,20,1
1505897986916-b728dd52-8a95-4261-a0d0-fee34db7a4c5,13525.0,35,19,1
1507402830429-a9d5a32f-1d13-480b-b29a-126e5ee520e0,67307.0,272,94,1
1510495478478-0f9ce9f3-0795-4f2d-9a9d-68987ac32eb0,19200.0,48,13,1
1510991813349-95323632-7c04-423c-aa43-b298f1c11d4e,65416.55,1061,244,1
1512643991479-954885d6-55df-403c-85d8-a6aea6b415db,134998.0,3322,342,1
1513209414555-791abbce-8c4c-45b4-a15f-38277146e5a0,81584.5,418,65,1
1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,642945.15,2483,677,1
1515999749633-0dbd49e6-0b8e-4f19-8c39-612ea621da0c,314349.95,481,64,1
1521730215389-b5172174-3363-4097-8672-1245656ddc27,50735.5,97,15,1
1525858952292-b4d0fe05-ce50-4c0f-b689-3abb0ac818bb,723994.0,285,95,1
1527233257004-13587f24-7c52-42fe-b08c-0dca6106e4e6,262820.0,197,31,1
1529054421538-a99e20ad-871c-4e86-b167-dcc91099f247,131310.0,124,40,1
1445859989485-105adb75-9ed1-4062-8ded-4c4680876409,524504.3,337,57,1
1467622250568-dc0953b3-a32a-4e49-82ce-d5bd554ac028,123411.4,1293,92,1
1468793112024-9e7d639d-e551-42be-a64d-be2a07b6a5a9,29987.0,189,11,1
1479057055975-2daf8a75-392c-4dad-ba85-9a7e0e9dd0a5,28244.0,73,11,1
1488193564261-d4309970-8df3-4dea-8fc8-b9893455483b,160915.16999999998,141,9,1
1491333832302-41f8a521-6b67-463a-aabf-feace6948c58,152634.5,188,22,1
1493882765366-f95a8117-3507-4402-b017-c0e086ab02ef,71500.5,88,9,1
