txn_vol,accepted_txn,failed_txn,capital_granted
26928.2,811,221,1
10197.0,41,5,1
256947.0,1548,796,1
81709.75,266,64,1
80890.0,122,25,1
445120.18000000005,1178,202,1
197500.9,506,102,1
50245.25,111,12,1
25096.0,56,17,1
66503.81,1507,278,1
105046.0,86,12,1
20770.0,61,9,1
27428.0,69,8,1
17248.7,120,19,1
101800.0,157,36,1
2404769.94,684,114,0
39887.0,333,147,1
280019.64,1859,194,1
242930.0,66,7,1
46397.4,74,24,1
65498.32,182,38,1
45128.0,347,173,1
66444.0,875,238,1
62846.0,535,85,1
14941.64,138,16,1
28858.2,306,242,1
32363.0,26,6,1
13674.85,34,5,1
732771.0,324,30,1
679449.8,2939,280,1
1292950.2999999998,5006,1354,0
656986.64,5736,3272,0
82105.0,264,64,1
68485.0,105,17,1
15885.5,44,6,1
1803503.7,12096,3992,1
12145.0,18,2,1
178437.0,113,46,1
20696.0,200,251,1
208384.9,120,10,1
28521.0,45,4,1
265071.95,240,67,1
41119.99,38,12,1
22634.0,80,28,1
26264.0,25,2,1
230860.0,1765,151,1
306236.0,1096,1144,1
118952.02,431,98,1
7797.0,77,35,1
512894.16,3920,1676,1
10434.2,102,48,0
11171.04,79,33,1
29000.0,103,41,1
15172.0,86,27,1
331162.48,1370,232,1
36683.1,424,201,1
26220.0,132,63,0
34844.11,74,8,0
104572.44,916,205,1
192991.82,763,178,1
1024413.2,6056,1882,0
124682.0,178,29,1
21420.0,17,3,1
168450.0,2536,349,1
52810.0,136,18,1
68648.0,509,49,1
124800.0,400,93,1
33700.0,48,13,1
186000.0,457,106,1
67158.5,461,237,1
372723.05,4020,665,1
525372.29,252,83,1
26647.0,44,12,1
16493.0,115,101,1
573087.27,1967,400,1
40952.0,404,178,1
28869.0,231,85,1
136662.41,105,18,1
69437.0,473,204,1
56313.05999999999,308,52,1
34604.0,212,107,1
44910.0,85,7,1
11870.0,62,3,1
188579.83,1552,186,1
165727.0,817,203,1
147860.0,489,31,0
28967.0,379,197,1
642945.15,2483,677,1
40970.0,40,9,1
363527.0,580,230,0
75202.37,16,21,1
306236.0,1096,1144,1
34382.0,119,17,0
39682.4,241,46,1
26011.0,94,13,1
13878.11,84,43,1
122316.08,21,6,1
13598.0,47,14,1
49030.0,189,57,1
75699.82999999999,262,33,1
49738.0,166,12,1
100475.0,194,28,0
28025.0,20,14,1
451914.99,121,23,1
404860.0,214,36,1
30185.08,262,130,1
28420.0,87,1,1
209933.0,362,71,1
39310.0,523,68,1
23990.0,194,57,1
17062.61,166,24,1
34475.5,33,4,1
400274.85,870,227,1
24680.0,140,26,0
308400.0,2124,278,0
122527.0,182,32,1
21175.0,78,14,1
116541.3,59,6,1
141382.5,1311,289,1
75792.76000000001,318,40,1
54082.0,176,42,1
114920.0,169,48,1
30676.8,106,32,0
117994.8,930,180,1
289258.09,6859,1382,1
81355.0,172,41,1
89038.0,457,145,0
36998.0,344,37,1
80783.5,416,536,0
208179.28000000003,3746,220,0
93939.0,389,60,1
32720.0,86,8,1
2426369.94,690,114,0
77026.0,244,63,1
11690.0,21,8,1
35425.0,27,6,1
309100.37,381,71,1
40090.0,116,25,1
21805.0,264,42,1
272284.0,86,30,1
477169.29999999993,1508,210,1
197381.5,633,122,1
1319898.55,6240,4540,0
65064.0,764,166,1
223778.0,1434,726,1
9568.05,140,47,1
715130.0,5626,390,1
68530.0,52,84,1
52769.0,167,24,1
156624.66999999998,1548,729,1
136931.2,1054,144,1
28871.3,112,65,1
125326.0,1333,457,1
78167.5,956,95,1
297293.36,588,123,1
31765.0,66,10,1
15711.4,52,8,1
274492.5,501,60,1
18636.0,95,58,1
213647.64,640,170,1
36508.0,72,22,1
1683126.4,16568,1072,0
348126.12,2546,561,1
78467.0,95,22,1
31458.8,133,18,1
357117.62,380,21,0
78602.0,114,26,1
25400.0,200,74,1
84575.31999999999,72,8,1
49830.0,58,17,1
62062.15,691,92,1
21377.0,157,45,1
130275.0,729,449,1
102345.11,1778,364,1
45818.61,103,8,1
59400.0,105,29,1
50342.2,251,19,1
19500.0,15,2,1
524504.3,337,57,1
139645.2,45,3,1
1713444.0,825,102,0
2608857.04,7654,1084,1
176764.0,766,110,1
109124.0,811,159,1
38909.0,97,17,1
331840.0,626,36,0
209870.0,1074,304,0
106028.0,367,32,1
85829.0,771,296,1
363426.08,1633,119,1
18125.0,156,58,1
217258.4,667,168,1
67307.0,272,94,1
52750.0,52,20,1
3968077.0,14325,1110,0
27770.0,106,4,1
38033.5,38,4,1
40181.58,326,158,1
145404.5,2581,271,1
11575.0,38,5,1
134681.02,165,35,1
26125.0,86,8,1
318580.0,310,99,1
33360.0,152,18,0
356706.12,974,217,1
13705.0,54,8,1
11734.5,108,50,1
49649.0,157,27,1
215386.0,418,75,1
102317.66,812,923,1
1292950.2999999998,5006,1354,0
167687.24,2588,593,1
688614.8099999999,19905,2326,1
16244.98,18,1,1
248016.0,1164,344,1
88909.0,313,47,1
156458.83000000002,1336,509,1
12850.0,42,4,1
12164.1,146,43,1
22709.12,188,44,1
0.0,0,0,1
123741.05,318,63,1
176576.67,230,286,1
79360.0,140,43,1
777634.0,1339,243,1
33517.5,55,9,1
36087.92,187,9,0
58477.0,189,25,1
94112.0,860,262,1
142877.0,1959,372,1
47639.0,296,126,1
67080.0,748,260,1
118080.0,811,57,1
222267.0,567,50,1
74774.0,509,140,0
142785.0,427,129,1
22042.0,30,4,1
288760.0,446,80,1
85254.0,168,25,1
12760.0,105,34,1
51725.0,384,36,1
121418.0,518,153,1
47270.0,86,23,1
12866.5,30,2,1
93086.83,192,41,1
69695.0,212,18,1
111148.5,456,58,1
13112.0,162,32,1
85315.5,115,32,0
72434.2,510,58,1
9705.0,62,42,1
25988.54,258,224,1
279199.0,418,92,1
296426.0,912,150,0
21012.0,54,8,1
659493.0,3559,557,1
92580.0,41,25,0
314076.3,598,117,1
163765.0,75,24,1
2589089.94,696,114,0
434435.0,205,98,1
57089.72,619,588,1
43149.6,257,21,1
10026.0,25,5,1
67192.0,495,173,1
80592.0,576,232,1
32385.0,71,4,1
156905.0,192,12,1
44997.0,281,74,1
148198.0,523,285,1
19837.0,50,11,1
26778.0,72,10,1
44267.0,51,7,1
25150.0,224,62,1
36059.0,403,100,0
60870.0,358,53,1
12020.0,164,43,1
122231.0,866,77,1
16845.0,134,46,1
43135.0,101,10,1
69285.0,106,23,1
21482.99,74,31,1
1174398.07,5047,478,1
31240.0,73,20,1
522976.6,1826,200,1
449378.0,1383,170,1
44549.0,152,70,1
49196.0,191,29,0
56969.0,586,339,0
60138.5,144,47,1
30538.0,172,33,1
29450.0,106,6,1
68268.0,160,20,1
76640.0,100,26,1
76629.5,289,64,0
20676.0,25,7,1
108968.14,829,105,1
76519.0,115,3,1
33980.0,19,9,1
314349.95,481,64,1
65876.5,345,47,1
222025.0,214,79,1
23826.0,54,22,1
41557.19,276,68,1
53973.600000000006,345,68,1
469720.65,1114,159,1
69470.5,1416,129,1
268345.69,1339,273,1
366352.64,1317,125,1
514932.0,760,128,1
88880.0,312,50,1
185324.5,2296,416,1
48120.0,213,48,1
73455.15,291,38,1
47251.0,251,67,1
114652.99,64,15,1
54205.0,201,26,1
25537.0,87,26,1
367908.0,710,110,1
47424.880000000005,577,423,1
12516.65,122,15,1
21538.0,128,99,0
44406.600000000006,242,92,1
45407.08,154,17,1
75747.0,100,22,1
564630.0,1138,70,0
14240.0,26,6,0
42770.0,54,15,1
69711.0,174,45,1
159006.5,75,31,1
36014.0,54,30,1
37748.5,497,65,1
60603.07,444,51,1
89038.75,1170,81,1
14486.0,97,89,0
34497.09,64,14,1
71176.0,113,24,1
36946.0,218,78,1
304405.64,120,46,1
552150.0,1101,42,0
191286.0,306,36,0
44780.0,26,2,1
81257.0,341,27,1
178536.5,791,208,1
63625.0,101,6,1
77470.0,65,16,1
91796.0,1341,237,1
23777.5,125,14,1
54738.0,238,35,1
79062.5,717,543,1
27633.8,86,35,1
84428.97,573,283,1
25500.0,83,20,1
17925.0,16,4,1
123800.0,80,16,1
1319603.0,4549,698,1
20140.1,194,110,1
114692.22,40,23,1
124830.3,36,7,1
125915.0,206,18,1
15665.88,103,61,1
15472.0,50,35,1
262820.0,197,31,1
183093.5,374,54,1
50735.5,97,15,1
32745.0,204,103,1
40741.0,129,40,1
633344.31,18170,2770,1
107083.17,319,117,1
38107.0,202,54,1
79542.0,144,12,1
585316.94,380,162,1
177323.8,1464,375,1
143813.0,1804,300,1
184463.68,1155,684,1
57383.5,366,73,1
67755.0,225,107,1
68186.6,510,115,0
168432.09999999998,691,122,1
735333.0,1455,210,0
33100.0,80,13,1
61368.5,503,62,1
176836.0,322,25,1
164691.44,1348,832,1
270300.67000000004,964,57,0
253446.68,1408,320,1
169830.47,423,46,1
70774.0,1059,206,1
